Faculdades Integradas Maria Imaculada|Instituto Maria Imaculada|Brazil
Faculdades Itapiranga|Faculdade de Itapiranga|Brazil
Faculdades Metropolitanas Unidas|Faculdades Metropolitanas Unidas|Brazil
Faculdades Metropolitanas Unidas (UNI FMU)|Faculdades Metropolitanas Unidas|Brazil
Faculdades Metropolitanas Unidas de São Paulo|Faculdades Metropolitanas Unidas|Brazil
Faculdades Oswaldo Cruz|Faculdades Oswaldo Cruz|Brazil
Faculdades Oswaldo Cruz de São Paulo|Faculdades Oswaldo Cruz|Brazil
Faculdades Santo Agostinho de Montes Claros|Universidade Estadual de Montes Claros|Brazil
Faculdades Unidas do Norte de Minas|Faculdades Unidas do Norte de Minas|Brazil
Faculdades Unidas do Norte de Minas Gerais|Faculdades Unidas do Norte de Minas|Brazil
Faculdades Universidade Federal de Lavras|Universidade Federal de Lavras|Brazil
Faculõade de Ciências Médicas da Santa Casa de São Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Facultad de Agronomía Eliseu Maciel de la UFPel|Universidade Federal de Pelotas|Brazil
Facultad de Agronomía. Universidad Agraria de La Habana. (UNAH)|Universidad Agraria de La Habana|Cuba
Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires|Universidad de Buenos Aires|Argentina
"Facultad de Ciencias Medicas ""Dr. Salvador Allende"""|"Facultad de Ciencias Médicas ""Dr. Salvador Allende"""|Cuba
Facultad de Ciencias Médicas de la Santa Casa de Misericordia de São Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Facultad de Ciencias Médicas de la Universidad Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Facultad de Ciencias Médicas Salvador Allende|"Facultad de Ciencias Médicas ""Dr. Salvador Allende"""|Cuba
Facultad de Deporte de la Universidad de Porto|Universidade do Porto|Portugal
(LABIOFAM)|Laboratorios Biológicos Farmacéuticos|
Facultad de Estomatologia|Facultad de Estomatología|Cuba
Facultad de Estomatología Raúl González Sánchez|Facultad de Estomatología|Cuba
Facultad de Estudios Superiores Iztacala, UNAM.|Universidad Nacional Autónoma de México|Mexico
Laboratorios Biologicos Farmaceuticos|Laboratorios Biológicos Farmacéuticos|
Facultad de Farmacia. Universidad Federal de Rio Grande del Sur|Universidade Federal do Rio Grande do Sul|Brazil
Facultad de Filosofía y Letras de la UNAM|Universidad Nacional Autónoma de México|Mexico
Facultad de Ingeniería Universidad de Buenos Aires|Universidad de Buenos Aires|Argentina
Facultad de Medicina de la Universidad Autónoma del Estado de México|Universidad Nacional Autónoma de México|Mexico
Facultad de Medicina de la Universidad de Sao Paulo|Universidade de São Paulo|Brazil
Facultad de Medicina Veterinaria y Zootecnia de la UNAM|Universidad Nacional Autónoma de México|Mexico
Facultad de Medicina Veterinaria. Universidad Agraria de La Habana|Universidad Agraria de La Habana|Cuba
Facultad de Medicina. Pontificia Universidad Católica de Chile|Pontificia Universidad Católica de Chile|Chile
Facultad de Medicina. Universidad Autónoma de México|Universidad Nacional Autónoma de México|Mexico
Facultad de Odontología de Araçatuba - UNESP|Universidade Estadual Paulista|Brazil
Facultad de Odontología de Araçatuba, UNESP.|Universidade Estadual Paulista|Brazil
Facultad de Odontología de Araçatuba-UNESP|Universidade Estadual Paulista|Brazil
Facultad de Odontología de Araçatuba-UNESP.|Universidade Estadual Paulista|Brazil
Facultad de Odontologia de Araraquara - UNESP|Universidade Estadual Paulista|Brazil
Laboratorios Biológicos Farmacéuticos|Laboratorios Biológicos Farmacéuticos|
Ministerio de Salud Publica|Ministerio de Salud Pública|
Facultad de Odontología. Universidad de Sao Paulo.|Universidade de São Paulo|Brazil
Facultad Estácio de Sá|Universidade Estácio de Sá|Brazil
Facultad Estadual de Ciencias Económicas de Apucarana|Faculdade Estadual de Ciências Econômicas de Apucarana|Brazil
Facultad Hospital Enrique Cabrera|Facultad Hospital Enrique Cabrera|Cuba
Faculté de Génie Mécanique|Université d'Oran|Algeria
Faculteit Aardwetenschappen|Utrecht University|Netherlands
Facultés Universitaires de Notre-Dame de la Paix|Facultés universitaires Notre-Dame de la Paix|France
Facultes universitaires Notre-Dame de la Paix|Facultés universitaires Notre-Dame de la Paix|France
Facultés Universitaires Notre-Dame de la Paix|Facultés universitaires Notre-Dame de la Paix|France
Facultés Universitaires Notre-Dame de la Paix (FUNDP)|Facultés universitaires Notre-Dame de la Paix|France
Faculty Anhanguera|Universidade Anhanguera|Brazil
Faculty of Engineering University of Porto|Universidade do Porto|Portugal
Faculty of Food Engineering, University of Campinas|Universidade Estadual de Campinas|Brazil
Faculty of Medical Science of Santa Casa of São Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculty of Medical Sciences of Santa Casa|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculty of Medical Sciences of Santa Casa de São Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculty of Medical Sciences of Santa Casa of Sao Paulo|Faculdade de Ciências Médicas da Santa Casa de São Paulo|Brazil
Faculty of Medicine of Porto University|Universidade do Porto|Portugal
Faculty of Medicine of Ribeirão Preto|Universidade de São Paulo|Brazil
Faculty of Medicine of the Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Faculty of Medicine of Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Faculty of Medicine UNAM|Universidad Nacional Autónoma de México|Mexico
Faculty of Pharmaceutical Sciences Oswaldo Cruz|Faculdades Oswaldo Cruz|Brazil
FAE/UFPEL|Universidade Federal de Pelotas|Brazil
FAEM/UFPAL|Universidade Federal do Pará|Brazil
FAEM/UFPel|Universidade Federal de Pelotas|Brazil
FAEN/UFMT|Universidade Federal do Mato Grosso|Brazil
Fafich/UFMG|Universidade Federal de Minas Gerais|Brazil
FAMED/PUCRS|Pontifícia Universidade Católica do Rio Grande do Sul|Brazil
FAMEDA/UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
FAMED-PUCRS|Pontifícia Universidade Católica do Rio Grande do Sul|Brazil
FAPA|Faculdade Paulistana|Brazil
FAPEAM/Embrapa Amazônia Ocidental|Embrapa Amazônia Ocidental|Brazil
FAPERJ-UENF-UFRRJ|Universidade Federal Rural do Rio de Janeiro|Brazil
FAQUI, CEPAC / PUCRS|Pontifícia Universidade Católica do Rio Grande do Sul|Brazil
Far-Manguinhos - FIOCRUZ|Fundação Oswaldo Cruz|Brazil
Far-Manguinhos-Fiocruz|Fundação Oswaldo Cruz|Brazil
FA-UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
FAV- UNB|Universidade de Brasília|Brazil
FAV/UnB|Universidade de Brasília|Brazil
Fazenda Reunidas Boi Gordo|Fazenda Reunidas Boi Gordo|Brazil
FBV/IMIP|Instituto Materno Infantil de Pernambuco|Brazil
FCA - UNESP|Universidade Estadual Paulista|Brazil
FCA/UNESP|Universidade Estadual Paulista|Brazil
FCA/UNESP Botucatu|Universidade Estadual Paulista|Brazil
FCA/UNESP Fazenda Experimental Lajeado|Universidade Estadual Paulista|Brazil
FCA/Unicamp|Universidade Estadual de Campinas|Brazil
FCA-UNESP|Universidade Estadual Paulista|Brazil
FCAV - UNESP|Universidade Estadual Paulista|Brazil
FCAV/UNESP|Universidade Estadual Paulista|Brazil
FCAVJ/UNESP|Universidade Estadual Paulista|Brazil
FCAVlUNESP|Universidade Estadual Paulista|Brazil
FCAV-UNESP|Universidade Estadual Paulista|Brazil
FCE/UERJ|Universidade do Estado do Rio de Janeiro|Brazil
FCEQyN. UNaM|Universidad Nacional Autónoma de México|Mexico
FCF/FEA/FSP-USP|Universidade de São Paulo|Brazil
FCF/USP|Universidade de São Paulo|Brazil
FCFRP-USP|Universidade de São Paulo|Brazil
FCFUSP|Universidade de São Paulo|Brazil
FCM - Unicamp|Universidade Estadual de Campinas|Brazil
FCM UERJ|Universidade do Estado do Rio de Janeiro|Brazil
FCM, UNICAMP|Universidade Estadual de Campinas|Brazil
FCM/UNICAMP|Universidade Estadual de Campinas|Brazil
FCM-Unicamp|Universidade Estadual de Campinas|Brazil
FCS/UnB - CNPq|Universidade de Brasília|Brazil
FCT/UNESP - Campus de Presidente Prudente|Universidade Estadual Paulista|Brazil
FCT-UNESP|Universidade Estadual Paulista|Brazil
FE/UNESP|Universidade Estadual Paulista|Brazil
FEA/UNICAMP|Universidade Estadual de Campinas|Brazil
FEA/USP|Universidade de São Paulo|Brazil
FEAGRI/UNICAMP|Universidade Estadual de Campinas|Brazil
FEAGRI-UNICAMP|Universidade Estadual de Campinas|Brazil
FEA-PUC-SP|Pontifícia Universidade Católica de São Paulo|Brazil
FEA-RP/USP|Universidade de São Paulo|Brazil
FEA-Unicamp|Universidade Estadual de Campinas|Brazil
FEAUSP|Universidade de São Paulo|Brazil
FEA-USP|Universidade de São Paulo|Brazil
FEC - UNICAMP|Universidade Estadual de Campinas|Brazil
Federal Center for Technical Education of Espírito Santo - CEFETES|Instituto Federal do Espírito Santo|Brazil
Federal Center of Technological Education of Minas Gerais|Centro Federal de Educação Tecnológica de Minas Gerais|Brazil
Federal Centre for Technological Education Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Federal Centre of Tech. Education of Paraíba|Instituto Federal de Educação, Ciência e Tecnologia da Paraíba|Brazil
Federal Centre of Technology Education of Rio de Janeiro|Centro Federal de Educação Tecnológica do Rio de Janeiro|Brazil
Federal da Grande Dourados|Universidade Federal da Grande Dourados|Brazil
Federal de Alagoas/UFAL|Universidade Federal de Alagoas|Brazil
Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
Federal de São João del Rei-UFSJ|Universidade Federal de São João del Rei|Brazil
Federal de Uberlândia|Universidade Federal de Uberlândia|Brazil
Federal Dniversity of Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Federal do Espírito Santo|Universidade Federal do Espírito Santo|Brazil
Federal do Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
Federal do Mato Grosso|Universidade Federal do Mato Grosso|Brazil
Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Federal do Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Federal do Rio Grande do Sul (UFRGS)|Universidade Federal do Rio Grande do Sul|Brazil
Federal do Rio Grande do Sul-UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
Federal Fluminense University|Universidade Federal Fluminense|Brazil
Federal Fluminense University (MAPS, MAC)|Universidade Federal Fluminense|Brazil
Federal Fluminense University (UFF)|Universidade Federal Fluminense|Brazil
Federal Health Sciences University of Porto Alegre|Universidade Federal de Ciências da Saúde de Porto Alegre|Brazil
Federal Inspection Service in the Northern region of Paraná State|Sistema de Inspeção Federal do Paraná|Brazil
Federal Institute for Education, Science and Technology of Brasilia|Instituto Federal de Educação, Ciência e Tecnologia de Brasília|Brazil
Federal Institute for Education, Science and Technology of Minas Gerais|Centro Federal de Educação Tecnológica de Minas Gerais|Brazil
Federal Institute of Education Science and Technology of Rio Grande do Sul|Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul|Brazil
Federal Institute of Education, Science and Technology Goiano|Instituto Federal Goiano|Brazil
Federal Institute of Education, Science and Technology in South Minas Gerais|Instituto Federal do Sul de Minas Gerais|Brazil
Federal Institute of Education, Science and Technology of Goiano|Instituto Federal Goiano|Brazil
Federal Institute of Education, Science and Technology of Pernambuco - IFPE|Instituto Federal de Pernambuco|Brazil
Federal Institute of Education, Science and Technology of Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Federal Institute of Education, Science and Techonology of Rio Grande do Sul|Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul|Brazil
Federal Institute of Espírito Santo|Instituto Federal do Espírito Santo|Brazil
Federal Institute of Goiás - IFG|Instituto Federal de Educação, Ciência e Tecnologia de Goiás|Brazil
Federal Institute of Maranhão (IFMA)|Instituto Federal de Educação Ciência e Tecnologia do Maranhão|Brazil
Federal Institute of Pernambuco|Instituto Federal de Pernambuco|Brazil
Federal Institute of Rio Grande do Sul|Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul|Brazil
Federal Institute of Santa Catarina|Instituto Federal de Santa Catarina|Brazil
Federal Institute of the Triângulo Mineiro|Instituto Federal do Triângulo Mineiro|Brazil
Federal Institution of Education, Science and Technology of Brasília|Instituto Federal de Educação, Ciência e Tecnologia de Brasília|Brazil
Federal Lavras University|Universidade Federal de Lavras|Brazil
Federal Medical School of São Paulo|Universidade Federal de São Paulo|Brazil
Federal Minas Gerais University|Universidade Federal de Minas Gerais|Brazil
Federal of Ceara University|Universidade Federal do Ceará|Brazil
Federal Office for Education, Science and Technology of Pará|Instituto Federal do Pará|Brazil
Federal Rural de Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Federal Rural do Semiárido|Universidade Federal Rural do Semi-Árido|Brazil
Federal Rural of Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Federal Rural University|Universidade Federal Rural de Pernambuco|Brazil
Federal Rural University of AmazÃ´nia|Universidade Federal Rural da Amazônia|Brazil
Federal Rural University of Amazon|Universidade Federal Rural da Amazônia|Brazil
Federal Rural University of Amazônia|Universidade Federal Rural da Amazônia|Brazil
Federal Rural University of Amazonia â€“ UFRA|Universidade Federal Rural da Amazônia|Brazil
Federal Rural University of Amazonia ââ‚¬â€œ UFRA|Universidade Federal Rural da Amazônia|Brazil
Federal Rural University of Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Federal Rural University of Pernambuco - UFRPE|Universidade Federal Rural de Pernambuco|Brazil
Federal Rural University of Pernambuco/Academic Unit of Garanhuns- UFRPE/UAG|Universidade Federal Rural de Pernambuco|Brazil
Federal Rural University of Rio de Janeiro (UFRRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Federal Rural University of Rio de Janeiro â€“ UFRRJ|Universidade Federal Rural do Rio de Janeiro|Brazil
Federal Rural University of Rio de Janeiro ââ‚¬â€œ UFRRJ|UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO|Brazil
Federal Rural University of Semiarid|Universidade Federal Rural do Semi-Árido|Brazil
Federal Rural University of the Amazon|Universidade Federal Rural da Amazônia|Brazil
Federal Rural University of the Semi-Arid â€“ UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Federal Rural University of the Semi-Arid ââ‚¬â€œ UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Federal School of Medicine of Uberlândia|Universidade Federal de Uberlândia|Brazil
Federal Technological Univ. of Paraná|Universidade Tecnológica Federal do Paraná|Brazil
Federal Technology University of Parana|Universidade Tecnológica Federal do Paraná|Brazil
Federal Univ of Sergipe|Universidade Federal de Sergipe|Brazil
Federal Univ. of Paraná|Universidade Federal do Paraná|Brazil
Federal Univ. of Pernambuco|Universidade Federal de Pernambuco|Brazil
Federal Univ. of Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Federal Univ. of Santa Catarina|Universidade Federal de Santa Catarina|Brazil
Federal Univ. of Santa Caterina|Universidade Federal de Santa Catarina|Brazil
Federal University - Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Federal University at Ouro Preto|Universidade Federal de Ouro Preto|Brazil
Federal University at Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Federal University at São Paulo|Universidade Federal de São Paulo|Brazil
Federal University Center of Alfenas|Universidade Federal de Alfenas|Brazil
Federal University Centre of Alfenas|Universidade Federal de Alfenas|Brazil
